Order_ID,Date_Time,Category,Demand_Level,Traffic_Congestion,Delivery_Mode,Driver_Availability,Distance_km,Base_Price,Weather_Impact,Special_Event,Payment_Method,Final_Price
2612,2025-03-07 05:50:00,Electronics,Medium,Moderate,Express,Low,4.4,2.69,Clear,Sports Event,Cash,7.7
2613,2025-03-25 23:22:00,Pharmacy,Medium,Heavy,Scheduled,Low,2.9,13.05,Clear,Festival,Cash,26.2
2614,2025-03-21 07:08:00,Groceries,Medium,Heavy,Standard,High,9.7,8.44,Rainy,None,UPI,12.03
2615,2025-03-12 18:53:00,Pharmacy,Medium,Light,Express,Medium,4.3,5.6,Stormy,Holiday,Debit Card,13.45
2616,2025-03-06 19:11:00,Electronics,High,Moderate,Scheduled,High,9.3,7.37,Clear,None,E-Wallet,8.54
2617,2025-03-01 22:45:00,Electronics,High,Light,Scheduled,Low,3.2,5.25,Clear,Holiday,Debit Card,10.38
2618,2025-03-15 11:22:00,Food Delivery,High,Light,Standard,Medium,5.8,14.52,Clear,Holiday,UPI,24.54
2619,2025-03-25 15:45:00,Pharmacy,Medium,Light,Express,Medium,2.1,3.21,Rainy,Festival,E-Wallet,7.71
2620,2025-03-16 21:51:00,Fashion,Low,Light,Express,Low,2.0,4.12,Stormy,None,UPI,9.0
2621,2025-03-09 08:04:00,Food Delivery,Medium,Light,Express,Medium,0.6,8.81,Clear,Festival,UPI,17.64
2622,2025-03-03 02:50:00,Groceries,Low,Moderate,Standard,High,4.1,7.53,Clear,Festival,Credit Card,9.69
2623,2025-03-30 13:00:00,Fashion,High,Light,Scheduled,Medium,1.2,3.21,Clear,Sports Event,E-Wallet,4.88
2624,2025-03-03 01:29:00,Pharmacy,Medium,Heavy,Express,Low,9.6,10.94,Rainy,Sports Event,Credit Card,41.0
2625,2025-03-26 08:45:00,Fashion,Medium,Light,Standard,Low,0.8,10.11,Clear,Sports Event,Credit Card,18.79
2626,2025-03-15 21:49:00,Groceries,High,Heavy,Standard,Low,0.8,14.44,Clear,Festival,Debit Card,38.07
2627,2025-03-08 19:55:00,Food Delivery,High,Heavy,Scheduled,High,3.9,12.77,Snowy,Festival,Debit Card,25.17
2628,2025-03-12 19:17:00,Electronics,Medium,Light,Express,Low,6.1,2.66,Snowy,Sports Event,Debit Card,8.31
2629,2025-03-20 11:04:00,Pharmacy,High,Moderate,Express,Medium,9.2,7.48,Clear,Holiday,E-Wallet,19.47
2630,2025-03-16 08:09:00,Food Delivery,Medium,Moderate,Scheduled,Medium,0.5,10.27,Rainy,Holiday,Cash,17.45
2631,2025-03-26 02:59:00,Groceries,Low,Heavy,Scheduled,High,8.1,4.19,Rainy,Festival,Credit Card,6.35
2632,2025-03-27 08:49:00,Food Delivery,High,Heavy,Express,Medium,5.0,10.05,Rainy,Festival,Cash,34.24
2633,2025-03-13 10:33:00,Pharmacy,High,Moderate,Express,Medium,9.8,10.38,Snowy,Festival,Debit Card,32.42
2634,2025-03-05 22:34:00,Food Delivery,Medium,Heavy,Scheduled,Low,9.7,11.86,Snowy,Sports Event,UPI,28.57
2635,2025-03-30 05:01:00,Food Delivery,High,Light,Scheduled,Medium,4.3,3.76,Rainy,Holiday,Cash,6.86
2636,2025-03-22 17:14:00,Electronics,Medium,Heavy,Express,Low,1.1,2.47,Stormy,None,E-Wallet,7.12
2637,2025-03-10 03:05:00,Electronics,Low,Moderate,Standard,High,9.2,9.67,Rainy,Sports Event,UPI,14.93
2638,2025-03-29 15:06:00,Food Delivery,High,Moderate,Standard,High,7.3,9.06,Snowy,Festival,UPI,18.19
2639,2025-03-09 17:08:00,Food Delivery,Medium,Light,Standard,Medium,3.0,12.29,Snowy,Holiday,Debit Card,21.09
2640,2025-03-14 01:16:00,Food Delivery,High,Heavy,Scheduled,Medium,9.7,7.67,Stormy,None,Credit Card,12.92
2641,2025-03-29 13:56:00,Groceries,Low,Moderate,Scheduled,High,0.9,6.17,Snowy,None,Debit Card,6.6
2642,2025-03-07 07:32:00,Fashion,Medium,Moderate,Scheduled,Medium,7.7,4.16,Snowy,Sports Event,UPI,7.07
2643,2025-03-11 13:00:00,Electronics,High,Moderate,Express,Low,0.9,10.1,Clear,Festival,Cash,34.17
2644,2025-03-02 05:06:00,Pharmacy,High,Heavy,Standard,Low,7.5,10.44,Clear,Holiday,Cash,27.52
2645,2025-03-23 09:41:00,Groceries,Low,Light,Standard,Low,8.2,3.52,Snowy,Holiday,Cash,7.14
2646,2025-03-04 20:22:00,Fashion,Medium,Moderate,Standard,Medium,2.3,10.87,Rainy,Holiday,Credit Card,20.52
2647,2025-03-02 05:26:00,Groceries,Low,Heavy,Scheduled,Low,6.7,9.15,Clear,Holiday,E-Wallet,16.7
2648,2025-03-27 06:33:00,Pharmacy,Low,Moderate,Standard,Low,5.5,4.99,Rainy,Festival,Cash,11.13
2649,2025-03-19 20:56:00,Electronics,Low,Light,Express,Low,0.9,4.39,Stormy,Festival,Cash,12.46
2650,2025-03-12 03:21:00,Food Delivery,High,Light,Express,Medium,6.3,12.17,Snowy,Sports Event,E-Wallet,34.55
2651,2025-03-17 19:05:00,Pharmacy,High,Light,Standard,Medium,6.1,3.3,Clear,Festival,Cash,5.58
2652,2025-03-05 05:50:00,Fashion,Low,Moderate,Express,Medium,2.3,9.13,Rainy,None,Credit Card,16.87
2653,2025-03-11 20:47:00,Groceries,Medium,Moderate,Scheduled,Medium,4.8,8.47,Clear,None,E-Wallet,9.22
2654,2025-03-14 08:09:00,Pharmacy,Low,Light,Standard,Medium,8.4,14.01,Snowy,None,Credit Card,16.81
2655,2025-03-13 06:19:00,Fashion,Medium,Light,Express,Medium,6.2,13.72,Clear,Festival,E-Wallet,27.47
2656,2025-03-13 09:25:00,Electronics,Medium,Light,Scheduled,High,6.5,10.67,Rainy,Sports Event,Debit Card,14.83
2657,2025-03-14 12:01:00,Fashion,Low,Moderate,Express,High,6.1,12.59,Clear,Holiday,UPI,22.68
2658,2025-03-23 11:11:00,Electronics,Medium,Heavy,Standard,High,0.9,2.34,Rainy,Festival,Cash,4.34
2659,2025-03-25 10:21:00,Groceries,High,Light,Express,Medium,8.9,13.31,Snowy,Sports Event,E-Wallet,37.79
2660,2025-03-19 20:37:00,Food Delivery,High,Heavy,Scheduled,High,6.8,8.66,Stormy,Sports Event,Debit Card,17.07
2661,2025-03-20 14:01:00,Food Delivery,High,Moderate,Scheduled,High,0.8,3.28,Snowy,Sports Event,E-Wallet,5.93
2662,2025-03-19 11:28:00,Fashion,Low,Heavy,Standard,High,4.3,9.08,Snowy,Sports Event,Credit Card,15.3
2663,2025-03-17 11:49:00,Groceries,High,Heavy,Express,High,3.6,14.09,Snowy,Sports Event,Credit Card,43.2
2664,2025-03-13 13:59:00,Electronics,High,Moderate,Standard,Low,8.0,13.64,Snowy,None,Debit Card,30.43
2665,2025-03-20 01:33:00,Groceries,Low,Moderate,Standard,Low,5.4,4.28,Snowy,Holiday,Credit Card,9.55
2666,2025-03-14 17:39:00,Fashion,High,Heavy,Scheduled,Medium,0.7,4.55,Clear,Festival,Debit Card,8.3
2667,2025-03-16 15:49:00,Electronics,Low,Heavy,Standard,Medium,7.9,12.99,Stormy,Holiday,Debit Card,24.32
2668,2025-03-11 15:43:00,Fashion,Medium,Moderate,Scheduled,Low,5.2,10.64,Rainy,None,E-Wallet,18.08
2669,2025-03-16 21:44:00,Food Delivery,High,Heavy,Standard,Low,4.2,3.87,Clear,Sports Event,Cash,10.2
2670,2025-03-06 06:27:00,Pharmacy,High,Heavy,Scheduled,Low,3.8,8.23,Clear,None,Debit Card,15.02
2671,2025-03-25 08:06:00,Groceries,Low,Moderate,Scheduled,High,9.6,2.74,Rainy,Sports Event,Cash,3.81
2672,2025-03-26 07:37:00,Pharmacy,Low,Heavy,Standard,Medium,9.9,7.71,Clear,Festival,Debit Card,12.03
2673,2025-03-11 11:53:00,Food Delivery,Medium,Light,Standard,Medium,5.4,11.6,Snowy,Sports Event,E-Wallet,19.91
2674,2025-03-06 23:01:00,Food Delivery,High,Moderate,Express,Medium,5.5,4.13,Stormy,Sports Event,E-Wallet,12.9
2675,2025-03-21 07:06:00,Pharmacy,Low,Heavy,Standard,Low,7.9,12.56,Snowy,Holiday,Debit Card,30.57
2676,2025-03-10 21:38:00,Electronics,High,Heavy,Standard,Low,9.7,13.4,Stormy,Holiday,UPI,42.39
2677,2025-03-24 21:15:00,Pharmacy,Low,Moderate,Scheduled,Medium,9.3,12.78,Clear,Festival,Debit Card,16.45
2678,2025-03-06 08:33:00,Groceries,Medium,Moderate,Standard,Low,4.4,2.6,Rainy,Holiday,E-Wallet,6.38
2679,2025-03-27 22:55:00,Pharmacy,Medium,Heavy,Standard,Medium,2.1,9.28,Stormy,Festival,E-Wallet,19.11
2680,2025-03-29 21:52:00,Pharmacy,Low,Heavy,Express,High,2.0,10.95,Clear,Holiday,UPI,21.52
2681,2025-03-30 22:53:00,Food Delivery,High,Moderate,Standard,High,9.9,11.98,Clear,Festival,UPI,20.04
2682,2025-03-05 13:35:00,Fashion,Low,Heavy,Standard,Medium,4.6,5.37,Clear,None,UPI,6.44
2683,2025-03-28 21:32:00,Electronics,High,Light,Standard,High,4.5,4.52,Snowy,None,Debit Card,6.35
2684,2025-03-15 11:45:00,Pharmacy,High,Light,Standard,Low,1.6,4.52,Stormy,Festival,Debit Card,11.92
2685,2025-03-16 06:09:00,Fashion,Medium,Moderate,Express,High,7.6,4.44,Snowy,Holiday,UPI,10.56
2686,2025-03-21 13:27:00,Food Delivery,Medium,Heavy,Standard,Low,1.2,12.6,Stormy,Holiday,Credit Card,33.73
2687,2025-03-26 03:25:00,Groceries,Low,Light,Standard,Medium,5.8,10.35,Clear,Sports Event,E-Wallet,13.46
2688,2025-03-12 07:24:00,Food Delivery,Medium,Moderate,Standard,High,9.4,13.38,Snowy,None,UPI,17.48
2689,2025-03-08 11:58:00,Pharmacy,Medium,Moderate,Standard,High,2.8,6.26,Snowy,Festival,Cash,10.63
2690,2025-03-11 04:07:00,Groceries,Low,Light,Standard,High,5.4,11.39,Clear,None,Debit Card,10.25
2691,2025-03-29 07:55:00,Food Delivery,High,Heavy,Scheduled,Medium,7.1,6.92,Stormy,Sports Event,Debit Card,15.16
2692,2025-03-28 18:56:00,Pharmacy,High,Light,Scheduled,High,2.3,5.63,Rainy,Holiday,Debit Card,9.25
2693,2025-03-25 17:01:00,Electronics,High,Moderate,Scheduled,Medium,0.6,4.52,Snowy,Festival,E-Wallet,9.07
2694,2025-03-01 13:54:00,Pharmacy,High,Moderate,Scheduled,High,2.7,3.05,Snowy,Festival,UPI,5.51
2695,2025-03-27 03:11:00,Electronics,High,Moderate,Scheduled,High,4.5,3.78,Stormy,None,Cash,5.25
2696,2025-03-15 13:36:00,Pharmacy,Medium,Light,Scheduled,Medium,0.7,10.09,Rainy,None,Credit Card,11.99
2697,2025-03-03 06:46:00,Electronics,Medium,Light,Express,Low,8.2,13.06,Snowy,None,Credit Card,31.38
2698,2025-03-11 20:46:00,Electronics,High,Moderate,Express,Low,5.3,5.3,Stormy,Holiday,Credit Card,21.52
2699,2025-03-06 14:57:00,Pharmacy,High,Heavy,Express,High,8.7,10.7,Rainy,Festival,E-Wallet,32.81
2700,2025-03-07 23:06:00,Pharmacy,Medium,Moderate,Standard,High,1.1,9.82,Clear,None,Credit Card,10.69
2701,2025-03-29 12:49:00,Food Delivery,Low,Moderate,Scheduled,Low,7.0,13.56,Clear,Holiday,E-Wallet,22.69
2702,2025-03-26 17:41:00,Electronics,Low,Light,Express,Low,1.1,7.12,Clear,Festival,UPI,16.85
2703,2025-03-21 01:14:00,Electronics,High,Moderate,Standard,High,9.3,3.61,Snowy,Festival,E-Wallet,7.25
2704,2025-03-17 10:06:00,Groceries,High,Heavy,Standard,Low,0.8,11.79,Clear,None,Cash,23.91
2705,2025-03-20 16:22:00,Fashion,Medium,Heavy,Standard,High,1.1,11.3,Stormy,Holiday,UPI,20.94
2706,2025-03-06 16:25:00,Fashion,High,Light,Express,Medium,8.4,11.82,Stormy,None,Cash,25.81
2707,2025-03-12 02:22:00,Fashion,Low,Light,Scheduled,Medium,5.3,2.72,Snowy,Festival,Credit Card,3.82
2708,2025-03-22 00:06:00,Groceries,Low,Moderate,Scheduled,High,7.6,10.08,Stormy,Festival,Credit Card,14.01
2709,2025-03-06 20:20:00,Pharmacy,Medium,Moderate,Express,Low,6.8,5.16,Snowy,Festival,Cash,17.73
2710,2025-03-01 22:31:00,Pharmacy,Medium,Heavy,Scheduled,High,5.7,14.69,Snowy,None,Credit Card,18.85
2711,2025-03-27 00:53:00,Pharmacy,Medium,Heavy,Express,Medium,4.3,7.43,Clear,Sports Event,E-Wallet,17.85
2712,2025-03-08 04:18:00,Groceries,Low,Light,Standard,High,7.6,12.08,Snowy,Holiday,UPI,16.96
2713,2025-03-11 07:37:00,Groceries,Medium,Light,Standard,Medium,9.4,14.76,Rainy,Holiday,UPI,25.33
2714,2025-03-26 10:28:00,Groceries,Low,Heavy,Scheduled,High,8.6,7.61,Rainy,Festival,UPI,11.54
2715,2025-03-16 23:17:00,Electronics,Medium,Light,Standard,Medium,6.9,11.24,Stormy,Sports Event,E-Wallet,19.29
2716,2025-03-13 17:33:00,Food Delivery,High,Light,Standard,Medium,5.4,9.41,Rainy,Holiday,E-Wallet,19.08
2717,2025-03-16 12:42:00,Fashion,High,Light,Scheduled,Low,4.9,13.52,Clear,None,Cash,20.56
2718,2025-03-06 00:46:00,Groceries,Low,Light,Express,Medium,10.0,7.85,Snowy,Holiday,UPI,17.14
2719,2025-03-18 05:45:00,Groceries,Low,Light,Express,Low,1.6,7.43,Rainy,Sports Event,E-Wallet,21.1
2720,2025-03-18 13:31:00,Food Delivery,High,Heavy,Standard,Medium,6.9,6.91,Rainy,Holiday,UPI,16.82
2721,2025-03-01 10:50:00,Pharmacy,Low,Light,Express,Medium,6.1,11.52,Snowy,Festival,E-Wallet,25.16
2722,2025-03-05 12:41:00,Food Delivery,Low,Light,Scheduled,High,6.0,5.68,Snowy,Sports Event,UPI,7.18
2723,2025-03-24 21:39:00,Groceries,High,Moderate,Standard,High,6.3,11.62,Clear,Holiday,Debit Card,19.44
2724,2025-03-11 21:33:00,Fashion,Medium,Heavy,Standard,Medium,3.4,6.56,Stormy,Sports Event,Debit Card,13.51
2725,2025-03-28 10:37:00,Groceries,High,Light,Scheduled,High,7.1,14.01,Snowy,Holiday,E-Wallet,23.01
2726,2025-03-29 03:56:00,Electronics,Medium,Moderate,Express,Medium,4.0,9.62,Rainy,Holiday,UPI,25.42
2727,2025-03-08 08:33:00,Fashion,High,Heavy,Standard,Medium,6.7,12.32,Rainy,Holiday,Credit Card,29.98
2728,2025-03-27 18:31:00,Pharmacy,High,Heavy,Scheduled,Medium,2.8,8.51,Clear,Sports Event,E-Wallet,15.53
2729,2025-03-27 09:49:00,Pharmacy,High,Light,Scheduled,High,7.5,7.1,Clear,Sports Event,Cash,9.72
2730,2025-03-27 14:12:00,Fashion,High,Heavy,Express,Low,3.8,12.24,Snowy,None,Credit Card,41.7
2731,2025-03-29 09:46:00,Fashion,High,Moderate,Express,High,7.5,13.67,Rainy,Holiday,Cash,38.42
2732,2025-03-04 15:56:00,Fashion,Low,Moderate,Express,High,3.1,8.25,Clear,Sports Event,Debit Card,14.86
2733,2025-03-16 15:01:00,Electronics,Low,Moderate,Scheduled,Medium,7.2,14.28,Clear,Festival,E-Wallet,18.38
2734,2025-03-18 22:45:00,Electronics,Low,Heavy,Express,High,9.2,3.39,Clear,None,Debit Card,5.13
2735,2025-03-25 08:12:00,Food Delivery,Low,Light,Scheduled,High,3.8,6.92,Stormy,Sports Event,UPI,8.74
2736,2025-03-03 02:56:00,Fashion,Low,Moderate,Standard,Low,6.6,5.59,Snowy,Festival,Debit Card,12.47
2737,2025-03-03 11:30:00,Groceries,Medium,Heavy,Express,Low,4.5,2.98,Rainy,Festival,Cash,11.17
2738,2025-03-03 09:25:00,Electronics,Low,Light,Scheduled,High,9.3,9.02,Stormy,None,UPI,8.77
2739,2025-03-27 18:04:00,Electronics,Low,Moderate,Scheduled,High,8.6,3.33,Snowy,Holiday,Credit Card,4.63
2740,2025-03-20 01:50:00,Groceries,High,Light,Standard,High,9.3,8.82,Clear,Sports Event,Credit Card,13.42
2741,2025-03-21 08:54:00,Fashion,High,Moderate,Scheduled,High,9.7,12.83,Snowy,None,Cash,17.83
2742,2025-03-12 22:46:00,Electronics,High,Heavy,Standard,Medium,1.7,13.8,Rainy,None,Cash,25.83
2743,2025-03-02 02:33:00,Electronics,High,Moderate,Standard,Low,8.9,11.94,Rainy,None,UPI,26.64
2744,2025-03-05 18:41:00,Electronics,High,Heavy,Express,High,3.8,5.53,Stormy,None,Credit Card,13.04
2745,2025-03-14 07:26:00,Groceries,Low,Heavy,Scheduled,Low,1.4,11.91,Stormy,Holiday,Credit Card,26.09
2746,2025-03-07 23:11:00,Fashion,High,Heavy,Standard,Low,7.6,14.23,Clear,Sports Event,E-Wallet,37.52
2747,2025-03-28 14:31:00,Pharmacy,Low,Light,Standard,Low,3.2,11.75,Rainy,None,Credit Card,18.33
2748,2025-03-29 10:16:00,Groceries,Medium,Moderate,Express,High,9.6,2.78,Clear,None,UPI,4.24
2749,2025-03-23 04:55:00,Food Delivery,High,Moderate,Scheduled,High,2.0,6.48,Stormy,Festival,Cash,11.71
2750,2025-03-07 05:52:00,Food Delivery,Medium,Heavy,Express,High,3.0,6.65,Clear,Holiday,Credit Card,14.38
2751,2025-03-09 22:14:00,Groceries,High,Heavy,Express,High,7.1,9.04,Snowy,Festival,Credit Card,27.72
2752,2025-03-21 09:22:00,Fashion,High,Heavy,Standard,Low,1.0,9.09,Stormy,Holiday,UPI,28.76
2753,2025-03-22 23:11:00,Groceries,High,Light,Express,Medium,9.9,9.94,Rainy,Sports Event,Cash,28.22
2754,2025-03-02 05:53:00,Pharmacy,Medium,Light,Express,Low,2.1,10.37,Snowy,None,Debit Card,24.91
2755,2025-03-16 10:19:00,Electronics,Low,Moderate,Express,Low,1.3,5.56,Snowy,None,Credit Card,13.36
2756,2025-03-13 06:59:00,Pharmacy,High,Heavy,Scheduled,Medium,6.7,12.51,Rainy,Holiday,E-Wallet,27.4
2757,2025-03-01 21:43:00,Pharmacy,Medium,Heavy,Scheduled,Low,0.8,9.46,Stormy,Festival,Credit Card,22.79
2758,2025-03-16 17:38:00,Pharmacy,Low,Heavy,Standard,High,7.2,11.39,Clear,Holiday,Cash,15.99
2759,2025-03-30 00:46:00,Groceries,Low,Moderate,Scheduled,Medium,4.0,13.19,Snowy,Sports Event,Cash,20.37
2760,2025-03-08 03:28:00,Fashion,Medium,Heavy,Express,Medium,7.3,2.56,Snowy,Holiday,E-Wallet,7.38
2761,2025-03-14 22:23:00,Food Delivery,High,Heavy,Scheduled,High,6.9,14.5,Rainy,Sports Event,E-Wallet,28.58
2762,2025-03-19 11:27:00,Electronics,High,Heavy,Scheduled,Medium,5.6,4.22,Rainy,Holiday,UPI,9.24
2763,2025-03-03 12:22:00,Fashion,Low,Moderate,Standard,High,2.9,10.84,Clear,None,Cash,10.73
2764,2025-03-22 02:53:00,Electronics,Low,Light,Standard,Medium,6.9,14.44,Snowy,None,E-Wallet,17.33
2765,2025-03-20 01:42:00,Fashion,Medium,Light,Express,Low,3.0,14.04,Stormy,Holiday,Cash,43.85
2766,2025-03-23 06:45:00,Food Delivery,High,Heavy,Express,Medium,5.1,13.45,Clear,Sports Event,E-Wallet,38.19
2767,2025-03-12 14:03:00,Food Delivery,Low,Moderate,Express,High,6.1,7.52,Stormy,Sports Event,UPI,16.26
2768,2025-03-15 14:14:00,Groceries,Medium,Moderate,Scheduled,Low,1.4,11.02,Clear,Sports Event,E-Wallet,20.28
2769,2025-03-14 15:41:00,Groceries,High,Moderate,Express,High,7.1,13.91,Snowy,Sports Event,E-Wallet,39.1
2770,2025-03-08 00:10:00,Fashion,High,Light,Express,Medium,2.7,3.36,Stormy,Holiday,Debit Card,9.54
2771,2025-03-30 21:16:00,Fashion,Medium,Heavy,Express,Medium,6.3,13.25,Snowy,Sports Event,Credit Card,38.2
2772,2025-03-11 13:12:00,Food Delivery,Medium,Light,Scheduled,High,9.1,5.57,Stormy,None,Debit Card,5.96
2773,2025-03-22 21:21:00,Groceries,Medium,Heavy,Scheduled,Medium,2.4,12.06,Snowy,Festival,Credit Card,22.35
2774,2025-03-09 22:50:00,Pharmacy,Medium,Heavy,Scheduled,High,3.3,5.09,Stormy,Holiday,Cash,8.49
2775,2025-03-22 04:45:00,Food Delivery,Medium,Light,Standard,Low,3.0,8.59,Rainy,None,Debit Card,14.74
2776,2025-03-02 21:48:00,Pharmacy,Low,Light,Standard,Low,1.8,3.47,Snowy,Sports Event,UPI,7.04
2777,2025-03-05 05:13:00,Fashion,Medium,Heavy,Express,Medium,9.9,2.89,Snowy,Sports Event,E-Wallet,8.33
2778,2025-03-06 22:20:00,Groceries,Medium,Moderate,Express,High,3.9,4.13,Snowy,Festival,UPI,9.82
2779,2025-03-01 18:37:00,Fashion,Low,Heavy,Standard,Medium,6.7,7.99,Clear,None,Credit Card,9.59
2780,2025-03-29 06:05:00,Electronics,High,Light,Express,Low,3.6,12.16,Snowy,Holiday,Debit Card,44.88
2781,2025-03-05 15:41:00,Food Delivery,Low,Light,Scheduled,Low,6.4,9.68,Snowy,Festival,E-Wallet,17.67
2782,2025-03-11 12:03:00,Pharmacy,Low,Light,Standard,Medium,0.9,6.21,Clear,None,UPI,6.21
2783,2025-03-12 10:13:00,Fashion,Low,Light,Standard,Low,0.9,4.13,Stormy,Festival,Credit Card,8.38
2784,2025-03-07 18:59:00,Groceries,High,Heavy,Express,Low,4.5,12.14,Snowy,Sports Event,UPI,53.77
2785,2025-03-02 04:28:00,Fashion,High,Heavy,Standard,Low,7.9,3.5,Clear,Festival,Credit Card,9.23
2786,2025-03-21 07:01:00,Fashion,Medium,Moderate,Standard,Low,2.2,2.61,Stormy,None,Credit Card,4.93
2787,2025-03-12 02:38:00,Electronics,Low,Heavy,Express,High,6.7,10.83,Snowy,Holiday,UPI,25.54
2788,2025-03-27 11:45:00,Fashion,Medium,Light,Standard,High,1.8,6.29,Snowy,None,UPI,7.47
2789,2025-03-04 01:04:00,Fashion,Medium,Moderate,Scheduled,Low,1.5,4.1,Clear,None,Cash,5.8
2790,2025-03-29 03:59:00,Food Delivery,High,Light,Scheduled,Medium,1.8,9.35,Snowy,Sports Event,Debit Card,17.07
2791,2025-03-27 10:40:00,Groceries,High,Moderate,Standard,Low,1.8,9.74,Rainy,Holiday,UPI,28.25
2792,2025-03-15 15:18:00,Food Delivery,High,Light,Scheduled,High,1.9,8.34,Clear,Holiday,Credit Card,11.42
2793,2025-03-15 01:08:00,Pharmacy,High,Moderate,Standard,High,4.2,9.15,Rainy,Festival,Credit Card,18.37
2794,2025-03-28 16:56:00,Groceries,High,Heavy,Express,High,3.3,13.29,Snowy,Holiday,Cash,40.75
2795,2025-03-25 20:01:00,Fashion,Medium,Light,Standard,Medium,7.7,6.34,Snowy,None,Cash,8.37
2796,2025-03-22 21:55:00,Pharmacy,High,Moderate,Standard,Low,0.7,7.55,Snowy,None,Credit Card,16.84
2797,2025-03-16 06:01:00,Food Delivery,High,Heavy,Scheduled,Low,2.9,14.27,Snowy,Festival,Credit Card,40.63
2798,2025-03-11 13:37:00,Electronics,High,Heavy,Scheduled,Medium,2.1,2.42,Clear,Sports Event,Cash,4.42
2799,2025-03-28 03:19:00,Food Delivery,Low,Moderate,Standard,Low,8.6,3.78,Rainy,Festival,Credit Card,8.43
2800,2025-03-20 17:03:00,Pharmacy,Medium,Heavy,Standard,Low,6.9,7.04,Clear,Festival,Credit Card,15.7
2801,2025-03-28 03:15:00,Electronics,Low,Moderate,Standard,High,8.0,11.63,Stormy,Sports Event,Debit Card,17.96
2802,2025-03-17 11:48:00,Food Delivery,Low,Moderate,Scheduled,Low,9.9,4.56,Rainy,Sports Event,Credit Card,9.16
2803,2025-03-10 09:02:00,Fashion,Medium,Light,Express,High,1.0,13.78,Stormy,None,Cash,22.92
2804,2025-03-17 21:40:00,Food Delivery,Medium,Heavy,Express,Medium,3.6,5.17,Rainy,Holiday,Debit Card,14.9
2805,2025-03-10 16:45:00,Food Delivery,Low,Light,Scheduled,Low,3.5,14.02,Rainy,None,UPI,19.68
2806,2025-03-24 22:15:00,Electronics,High,Light,Express,Medium,9.6,9.62,Snowy,Festival,UPI,27.31
2807,2025-03-28 14:12:00,Electronics,High,Moderate,Express,Low,8.4,13.77,Rainy,Festival,UPI,55.91
2808,2025-03-09 13:13:00,Electronics,High,Heavy,Express,High,4.5,11.74,Snowy,Festival,Debit Card,36.0
2809,2025-03-17 03:31:00,Food Delivery,Low,Light,Standard,Medium,9.0,4.01,Stormy,Sports Event,E-Wallet,6.26
2810,2025-03-22 01:57:00,Fashion,Low,Heavy,Express,High,6.7,13.61,Snowy,Holiday,Debit Card,32.1
2811,2025-03-11 02:38:00,Groceries,Low,Light,Standard,Low,6.8,3.49,Stormy,None,E-Wallet,5.44
2812,2025-03-21 03:22:00,Groceries,High,Heavy,Standard,Low,2.3,9.36,Snowy,Festival,UPI,29.61
2813,2025-03-23 20:43:00,Electronics,Medium,Moderate,Express,Medium,8.7,14.37,Snowy,Holiday,Cash,37.97
2814,2025-03-14 06:16:00,Electronics,Low,Light,Standard,High,5.6,6.75,Stormy,Festival,Credit Card,9.48
2815,2025-03-09 09:35:00,Groceries,High,Light,Express,High,8.2,14.77,Clear,Sports Event,E-Wallet,31.45
2816,2025-03-09 06:59:00,Groceries,High,Light,Scheduled,Medium,6.6,12.9,Clear,Festival,Debit Card,19.62
2817,2025-03-07 05:31:00,Fashion,High,Moderate,Express,High,1.9,11.46,Clear,Sports Event,Credit Card,26.84
2818,2025-03-20 05:22:00,Electronics,Medium,Moderate,Standard,Medium,2.8,4.51,Stormy,Sports Event,E-Wallet,8.51
2819,2025-03-06 15:58:00,Fashion,Medium,Moderate,Express,Low,8.3,8.44,Rainy,Holiday,UPI,29.0
2820,2025-03-22 22:07:00,Pharmacy,Medium,Heavy,Scheduled,Medium,4.3,10.56,Stormy,None,Credit Card,15.05
2821,2025-03-25 09:12:00,Electronics,High,Moderate,Scheduled,Low,2.5,10.28,Snowy,Festival,Credit Card,26.83
2822,2025-03-29 16:39:00,Fashion,High,Light,Express,Low,2.8,3.13,Clear,Festival,UPI,9.63
2823,2025-03-30 20:26:00,Pharmacy,Medium,Heavy,Scheduled,Low,1.8,3.59,Stormy,Sports Event,UPI,8.65
2824,2025-03-24 09:07:00,Food Delivery,Low,Moderate,Standard,High,0.9,14.95,Stormy,Holiday,Debit Card,23.09
2825,2025-03-08 16:54:00,Groceries,Medium,Moderate,Scheduled,High,1.5,13.33,Snowy,Sports Event,Cash,20.38
2826,2025-03-22 02:44:00,Food Delivery,Low,Light,Standard,Medium,6.8,10.24,Stormy,Sports Event,UPI,15.97
2827,2025-03-23 04:23:00,Electronics,Medium,Moderate,Standard,Medium,2.9,7.67,Clear,Sports Event,E-Wallet,12.06
2828,2025-03-18 03:42:00,Fashion,Low,Light,Scheduled,Medium,3.6,8.57,Stormy,Holiday,Credit Card,12.03
2829,2025-03-30 16:55:00,Fashion,High,Heavy,Express,Low,3.4,7.84,Rainy,Sports Event,Credit Card,34.72
2830,2025-03-05 16:05:00,Fashion,Low,Light,Scheduled,Medium,6.5,3.96,Snowy,Sports Event,E-Wallet,5.56
2831,2025-03-26 10:03:00,Fashion,High,Moderate,Scheduled,Medium,5.0,14.52,Stormy,Festival,Debit Card,29.15
2832,2025-03-25 12:12:00,Electronics,Medium,Light,Express,High,0.6,12.0,Clear,Sports Event,Debit Card,21.62
